"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1231","Создание заказа автроизованным пользователем","tests","Tue Sep 09 20:37:44 MSK 2025","passed","Tue Sep 09 20:37:45 MSK 2025","TestCreateOrder","test_create_order","",""
"","834","Нельзя зарегистрировать пользователя с существующим логином","tests","Tue Sep 09 20:37:52 MSK 2025","passed","Tue Sep 09 20:37:53 MSK 2025","TestUserMethods","test_create_user","",""
"","385","Нельзя зарегистрировать пользователя без заполнения обязательного поля","tests","Tue Sep 09 20:37:55 MSK 2025","passed","Tue Sep 09 20:37:55 MSK 2025","TestUserMethods","test_create_user","",""
"","846","Создание заказа без ингредиентов","tests","Tue Sep 09 20:37:49 MSK 2025","passed","Tue Sep 09 20:37:50 MSK 2025","TestCreateOrder","test_create_order","",""
"","380","Нельзя зарегистрировать пользователя без заполнения обязательного поля","tests","Tue Sep 09 20:37:54 MSK 2025","passed","Tue Sep 09 20:37:54 MSK 2025","TestUserMethods","test_create_user","",""
"","380","Создание заказа неавторизованным пользователем","tests","Tue Sep 09 20:37:46 MSK 2025","failed","Tue Sep 09 20:37:47 MSK 2025","TestCreateOrder","test_create_order","",""
"","531","Успешная регистрация уникального пользователя","tests","Tue Sep 09 20:37:51 MSK 2025","passed","Tue Sep 09 20:37:51 MSK 2025","TestUserMethods","test_create_user","",""
"","839","Создание заказа с неверным хэшем ингредиентов","tests","Tue Sep 09 20:37:47 MSK 2025","passed","Tue Sep 09 20:37:48 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверяем, что зарегистрированный пользователь может успешно авторизоваться","399","Успешная авторизация пользователя","tests","Tue Sep 09 20:37:38 MSK 2025","passed","Tue Sep 09 20:37:38 MSK 2025","TestAuthUser","test_auth_user","",""
"Проверяем, что нельзя авторизоваться с несуществующим email","394","Ошибка при неверном email","tests","Tue Sep 09 20:37:40 MSK 2025","passed","Tue Sep 09 20:37:40 MSK 2025","TestAuthUser","test_auth_user","",""
"Проверяем, что нельзя авторизоваться с несуществующим паролем","616","Ошибка при неверном пароле","tests","Tue Sep 09 20:37:42 MSK 2025","passed","Tue Sep 09 20:37:42 MSK 2025","TestAuthUser","test_auth_user","",""
"","370","Нельзя зарегистрировать пользователя без заполнения обязательного поля","tests","Tue Sep 09 20:37:54 MSK 2025","passed","Tue Sep 09 20:37:55 MSK 2025","TestUserMethods","test_create_user","",""
